,Vote,Country,Name,First,Second,Third
0,Captain,Albania,Agolli Ansi,Cristiano Ronaldo,Messi Lionel,Buffon Gianluigi
1,Captain,Algeria,Mbolhi Adi Rais,Cristiano Ronaldo,Buffon Gianluigi,Messi Lionel
2,Captain,American Samoa,Ott Ramin,Cristiano Ronaldo,Neymar,Dybala Paulo
3,Captain,Andorra,Lima Sola Ildefons,Neymar,Modric Luka,Buffon Gianluigi
4,Captain,Angola,Gaspar Wilson Pinto,Cristiano Ronaldo,Ramos Sergio,Modric Luka
5,Captain,Argentina,Messi Lionel,Suárez Luis,Iniesta Andrés,Neymar
6,Captain,Armenia,Mkhitaryan Henrikh,Cristiano Ronaldo,Buffon Gianluigi,Neymar
7,Captain,Aruba,Nickenson Paul,Cristiano Ronaldo,Messi Lionel,Neymar
8,Captain,Australia,Jedinak Mile,Cristiano Ronaldo,Messi Lionel,Modric Luka
9,Captain,Austria,Baumgartlinger Julian,Cristiano Ronaldo,Kroos Toni,Dybala Paulo
10,Captain,Azerbaijan,Sadygov Rashad,Cristiano Ronaldo,Neymar,Messi Lionel
11,Captain,Bahamas,St Fleur Lesly,Kanté N'Golo,Messi Lionel,Dybala Paulo
12,Captain,Bahrain,Abbas Mohamed,Cristiano Ronaldo,Neymar,Messi Lionel
13,Captain,Bangladesh,Mamun Md Mamunul,Cristiano Ronaldo,Messi Lionel,Buffon Gianluigi
14,Captain,Barbados,Mario Harte,Aubameyang Pierre-Emerick,Griezmann Antoine,Neuer Manuel
15,Captain,Belarus,Filipenko Egor,Cristiano Ronaldo,Messi Lionel,Modric Luka
16,Captain,Belgium,Hazard Eden,Kanté N'Golo,Cristiano Ronaldo,Modric Luka
17,Captain,Belize,Elroy Smith,Ramos Sergio,Neymar,Sanchez Alexis
18,Captain,Bermuda,Lambe Reggie,Cristiano Ronaldo,Modric Luka,Messi Lionel
19,Captain,Bhutan,Shedrup Karma,Cristiano Ronaldo,Messi Lionel,Sanchez Alexis
20,Captain,Bosnia and Herzegovina,Džeko Edin,Cristiano Ronaldo,Buffon Gianluigi,Messi Lionel
21,Captain,Brazil,Alves Da Silva Daniel,Neymar,Messi Lionel,Cristiano Ronaldo
22,Captain,British Virgin Islands,Ceasar Kavon Troy,Cristiano Ronaldo,Neymar,Kane Harry
23,Captain,Burkina Faso,Kabore Charle,Messi Lionel,Marcelo,Neymar
24,Captain,Burundi,Duhayindavyi Gael,Cristiano Ronaldo,Messi Lionel,Dybala Paulo
25,Captain,Cambodia,Khuon Laboravy,Messi Lionel,Cristiano Ronaldo,Neymar
26,Captain,Cameroon,Moukandjo Benjamin,Messi Lionel,Marcelo,Cristiano Ronaldo
27,Captain,Canada,Hutchinson Atiba,Cristiano Ronaldo,Messi Lionel,Ramos Sergio
28,Captain,Chad,Gassina Ferdinand,Cristiano Ronaldo,Messi Lionel,Neymar
29,Captain,China PR,Zheng Zhi,Cristiano Ronaldo,Buffon Gianluigi,Kroos Toni
